Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,25.175,-42.705,0.0,top
C10,0.1uF,C_0402_1005Metric,16.927314,-52.199999,90.0,top
C11,2.2uF,C_0402_1005Metric,15.19,-52.7,180.0,top
C12,2.2uF,C_0402_1005Metric,15.19,-53.7,180.0,top
C13,0.1uF,C_0402_1005Metric,27.44,-55.125,0.0,top
C14,0.1uF,C_0402_1005Metric,14.59,-58.76,180.0,top
C15,15pF,C_0402_1005Metric,28.960274,-56.905395,90.0,top
C16,15pF,C_0402_1005Metric,27.526309,-62.651682,0.0,top
C17,6.8pF,C_0402_1005Metric,29.975876,-77.559747,180.0,top
C19,22uF,C_1206_3216Metric,12.965,-93.45,180.0,top
C2,0.1uF,C_0402_1005Metric,27.439999,-53.267266,0.0,top
C20,22uF,C_1206_3216Metric,21.44,-90.620474,180.0,top
C21,100uF/10V,CP_Elec_6.3x5.4,12.64,-86.25,-90.0,top
C22,22uF,C_1206_3216Metric,2.468699,-73.008552,90.0,top
C23,22uF,C_1206_3216Metric,23.33038,-85.834233,90.0,top
C24,22uF,C_1206_3216Metric,3.683657,-76.449999,180.0,top
C25,100nF,C_0402_1005Metric,24.42,-88.45,0.0,top
C26,22uF,C_1206_3216Metric,8.78,-29.87,0.0,top
C27,100nF,C_0603_1608Metric,4.69,-29.95,180.0,top
C28,100nF,C_0402_1005Metric,25.547843,-78.345623,180.0,top
C29,22uF,C_1206_3216Metric,28.715374,-75.949999,0.0,top
C3,0.1uF,C_0402_1005Metric,19.133657,-62.249999,180.0,bottom
C30,100nF,C_0402_1005Metric,16.770439,-82.221286,90.0,top
C31,100pF,C_0402_1005Metric,17.327542,-86.620624,-90.0,top
C32,22uF,C_1206_3216Metric,25.280137,-81.231662,90.0,top
C33,100uF/10V,CP_Elec_6.3x5.4,21.99,-16.65,180.0,top
C34,100nF,C_0603_1608Metric,15.447765,-77.217234,-90.0,top
C35,100nF,C_0402_1005Metric,11.353657,-43.449999,180.0,bottom
C36,0.1uF,C_0402_1005Metric,14.433657,-84.949999,270.0,bottom
C37,100nF,C_0402_1005Metric,14.173657,-47.989999,-90.0,top
C38,22uF,C_1206_3216Metric,22.960694,-80.007234,-90.0,top
C39,10n,C_0402_1005Metric,14.69,-8.68,-90.0,top
C4,0.1uF,C_0402_1005Metric,22.29094,-62.949999,-90.0,top
C40,10n,C_0402_1005Metric,12.71,-11.7,0.0,top
C41,10n,C_0402_1005Metric,14.69,-3.95,-90.0,top
C42,22uF,C_1206_3216Metric,28.34,-7.225,-90.0,top
C43,100nF,C_0603_1608Metric,30.24,-6.425,-90.0,top
C44,4.7uF,C_0805_2012Metric,10.633657,-41.249999,90.0,bottom
C45,4.7uF,C_0805_2012Metric,16.433657,-47.849999,180.0,top
C46,100nF,C_0201_0603Metric,15.808657,-45.249999,135.0,top
